Season,Date,Time,Home,Away,Result
2021/2022,18/04/2022,14:00,Slask Wroclaw,Wisla,D
2021/2022,18/04/2022,16:30,Gornik Z.,Lechia Gdansk,A
2021/2022,18/04/2022,19:00,Legia,Piast Gliwice,A
2021/2022,20/04/2022,17:00,Lech Poznan,Leczna,H
2021/2022,20/04/2022,19:30,Pogon Szczecin,Rakow,A
2021/2022,22/04/2022,17:00,Radomiak Radom,Cracovia,A
2021/2022,22/04/2022,19:30,Zaglebie,Gornik Z.,A
2021/2022,23/04/2022,14:00,Slask Wroclaw,Termalica B-B.,A
2021/2022,23/04/2022,16:30,Piast Gliwice,Jagiellonia,H
2021/2022,23/04/2022,19:00,Lechia Gdansk,Warta Poznan,H
2021/2022,24/04/2022,11:30,Lech Poznan,Stal Mielec,H
2021/2022,24/04/2022,14:00,Rakow,Leczna,H
2021/2022,24/04/2022,16:30,Pogon Szczecin,Legia,H
2021/2022,25/04/2022,18:00,Wisla,Wisla Plock,A
2021/2022,29/04/2022,17:00,Warta Poznan,Piast Gliwice,A
2021/2022,29/04/2022,19:30,Gornik Z.,Radomiak Radom,D
2021/2022,30/04/2022,14:00,Jagiellonia,Slask Wroclaw,D
2021/2022,30/04/2022,16:30,Zaglebie,Lechia Gdansk,D
2021/2022,30/04/2022,19:00,Stal Mielec,Legia,H
2021/2022,01/05/2022,14:00,Termalica B-B.,Wisla Plock,H
2021/2022,01/05/2022,16:30,Cracovia,Wisla,D
2021/2022,06/05/2022,17:00,Radomiak Radom,Zaglebie,A
2021/2022,06/05/2022,19:30,Legia,Gornik Z.,H
2021/2022,07/05/2022,14:00,Wisla Plock,Warta Poznan,A
2021/2022,07/05/2022,16:30,Slask Wroclaw,Pogon Szczecin,D
2021/2022,07/05/2022,19:00,Wisla,Jagiellonia,D
2021/2022,08/05/2022,11:30,Lechia Gdansk,Stal Mielec,H
2021/2022,08/05/2022,14:00,Rakow,Cracovia,D
2021/2022,08/05/2022,16:30,Piast Gliwice,Lech Poznan,A
2021/2022,09/05/2022,17:00,Leczna,Termalica B-B.,D
2021/2022,13/05/2022,17:00,Cracovia,Wisla Plock,H
2021/2022,13/05/2022,19:30,Jagiellonia,Legia,D
2021/2022,14/05/2022,11:30,Termalica B-B.,Piast Gliwice,A
2021/2022,14/05/2022,14:00,Warta Poznan,Lech Poznan,A
2021/2022,14/05/2022,16:30,Zaglebie,Rakow,H
2021/2022,14/05/2022,19:00,Lechia Gdansk,Pogon Szczecin,D
2021/2022,15/05/2022,11:30,Stal Mielec,Slask Wroclaw,D
2021/2022,15/05/2022,14:00,Gornik Z.,Leczna,H
2021/2022,15/05/2022,16:30,Radomiak Radom,Wisla,H
2021/2022,21/05/2022,16:30,Lech Poznan,Zaglebie,H
2021/2022,21/05/2022,16:30,Leczna,Jagiellonia,A
2021/2022,21/05/2022,16:30,Legia,Cracovia,H
2021/2022,21/05/2022,16:30,Piast Gliwice,Radomiak Radom,D
2021/2022,21/05/2022,16:30,Pogon Szczecin,Termalica B-B.,D
2021/2022,21/05/2022,16:30,Rakow,Lechia Gdansk,H
2021/2022,21/05/2022,16:30,Slask Wroclaw,Gornik Z.,A
2021/2022,21/05/2022,16:30,Wisla,Warta Poznan,A
2021/2022,21/05/2022,16:30,Wisla Plock,Stal Mielec,H
2022/2023,15/07/2022,17:00,Rakow,Warta Poznan,H
2022/2023,15/07/2022,19:30,Zaglebie,Slask Wroclaw,D
2022/2023,16/07/2022,14:00,Lech Poznan,Stal Mielec,A
2022/2023,16/07/2022,16:30,Jagiellonia,Piast Gliwice,H
2022/2023,16/07/2022,19:00,Korona Kielce,Legia,D
2022/2023,17/07/2022,11:30,Radomiak Radom,Legnica,D
2022/2023,17/07/2022,14:00,Wisla Plock,Lechia Gdansk,H
2022/2023,17/07/2022,16:30,Pogon Szczecin,Widzew Lodz,H
2022/2023,18/07/2022,18:00,Gornik Z.,Cracovia,A
2022/2023,22/07/2022,17:00,Warta Poznan,Wisla Plock,A
2022/2023,22/07/2022,19:30,Jagiellonia,Widzew Lodz,A
2022/2023,23/07/2022,16:30,Cracovia,Korona Kielce,H
2022/2023,23/07/2022,19:00,Legia,Zaglebie,H
2022/2023,24/07/2022,16:30,Slask Wroclaw,Pogon Szczecin,H
2022/2023,25/07/2022,18:00,Stal Mielec,Radomiak Radom,D
2022/2023,29/07/2022,17:00,Piast Gliwice,Zaglebie,A
2022/2023,29/07/2022,19:30,Cracovia,Legia,H
2022/2023,30/07/2022,16:30,Radomiak Radom,Gornik Z.,A
2022/2023,30/07/2022,19:00,Legnica,Warta Poznan,A
2022/2023,31/07/2022,14:00,Pogon Szczecin,Jagiellonia,H
2022/2023,31/07/2022,16:30,Lech Poznan,Wisla Plock,A
2022/2023,31/07/2022,16:30,Rakow,Stal Mielec,H
2022/2023,31/07/2022,19:00,Widzew Lodz,Lechia Gdansk,A
2022/2023,01/08/2022,18:00,Korona Kielce,Slask Wroclaw,H
2022/2023,05/08/2022,17:00,Stal Mielec,Cracovia,H
2022/2023,05/08/2022,19:30,Legia,Piast Gliwice,H
2022/2023,06/08/2022,14:00,Lechia Gdansk,Korona Kielce,A
2022/2023,06/08/2022,16:30,Jagiellonia,Radomiak Radom,A
2022/2023,06/08/2022,19:00,Slask Wroclaw,Widzew Lodz,D
2022/2023,07/08/2022,14:00,Warta Poznan,Pogon Szczecin,A
2022/2023,07/08/2022,16:30,Zaglebie,Lech Poznan,D
2022/2023,07/08/2022,19:00,Gornik Z.,Rakow,H
2022/2023,08/08/2022,18:00,Wisla Plock,Legnica,H
2022/2023,12/08/2022,17:00,Legnica,Zaglebie,A
2022/2023,12/08/2022,19:30,Widzew Lodz,Legia,A
2022/2023,13/08/2022,14:00,Cracovia,Piast Gliwice,A
2022/2023,13/08/2022,16:30,Gornik Z.,Stal Mielec,A
2022/2023,13/08/2022,19:00,Pogon Szczecin,Wisla Plock,D
2022/2023,14/08/2022,14:00,Radomiak Radom,Lechia Gdansk,H
2022/2023,14/08/2022,16:30,Rakow,Jagiellonia,D
2022/2023,14/08/2022,19:00,Lech Poznan,Slask Wroclaw,A
2022/2023,15/08/2022,18:00,Korona Kielce,Warta Poznan,A
2022/2023,19/08/2022,17:00,Jagiellonia,Legnica,H
2022/2023,19/08/2022,19:30,Legia,Gornik Z.,D
2022/2023,20/08/2022,14:00,Wisla Plock,Korona Kielce,H
2022/2023,20/08/2022,16:30,Slask Wroclaw,Cracovia,D
2022/2023,20/08/2022,19:00,Warta Poznan,Widzew Lodz,A
2022/2023,21/08/2022,14:00,Zaglebie,Radomiak Radom,A
2022/2023,21/08/2022,16:30,Piast Gliwice,Stal Mielec,H
2022/2023,26/08/2022,17:00,Gornik Z.,Jagiellonia,D
2022/2023,26/08/2022,19:30,Stal Mielec,Legia,A
2022/2023,27/08/2022,11:30,Radomiak Radom,Korona Kielce,A
2022/2023,27/08/2022,14:00,Legnica,Lechia Gdansk,H
2022/2023,27/08/2022,16:30,Pogon Szczecin,Zaglebie,H
2022/2023,27/08/2022,19:00,Widzew Lodz,Wisla Plock,H
2022/2023,28/08/2022,11:30,Cracovia,Warta Poznan,A
2022/2023,28/08/2022,14:00,Slask Wroclaw,Rakow,A
2022/2023,28/08/2022,16:30,Lech Poznan,Piast Gliwice,H
2022/2023,31/08/2022,17:00,Rakow,Pogon Szczecin,H
2022/2023,31/08/2022,19:30,Lechia Gdansk,Lech Poznan,A
2022/2023,02/09/2022,19:30,Legia,Radomiak Radom,H
2022/2023,03/09/2022,14:00,Stal Mielec,Slask Wroclaw,H
2022/2023,03/09/2022,16:30,Lechia Gdansk,Warta Poznan,D
2022/2023,03/09/2022,19:00,Cracovia,Rakow,H
2022/2023,04/09/2022,11:30,Zaglebie,Jagiellonia,D
2022/2023,04/09/2022,14:00,Korona Kielce,Pogon Szczecin,A
2022/2023,04/09/2022,16:30,Lech Poznan,Widzew Lodz,H
2022/2023,05/09/2022,17:00,Piast Gliwice,Legnica,H
2022/2023,05/09/2022,19:30,Wisla Plock,Gornik Z.,D
2022/2023,09/09/2022,17:00,Warta Poznan,Zaglebie,D
2022/2023,09/09/2022,19:30,Widzew Lodz,Cracovia,H
2022/2023,10/09/2022,14:00,Slask Wroclaw,Lechia Gdansk,H
2022/2023,10/09/2022,16:30,Radomiak Radom,Wisla Plock,H
2022/2023,10/09/2022,19:00,Gornik Z.,Piast Gliwice,D
2022/2023,11/09/2022,11:30,Legnica,Korona Kielce,D
2022/2023,11/09/2022,14:00,Pogon Szczecin,Lech Poznan,D
2022/2023,11/09/2022,16:30,Rakow,Legia,H
2022/2023,12/09/2022,18:00,Jagiellonia,Stal Mielec,H
2022/2023,16/09/2022,17:00,Piast Gliwice,Slask Wroclaw,D
2022/2023,16/09/2022,19:30,Legia,Legnica,H
2022/2023,17/09/2022,11:30,Stal Mielec,Widzew Lodz,A
2022/2023,17/09/2022,14:00,Lechia Gdansk,Jagiellonia,D
2022/2023,17/09/2022,16:30,Rakow,Radomiak Radom,H
2022/2023,17/09/2022,19:00,Cracovia,Pogon Szczecin,D
2022/2023,18/09/2022,11:30,Korona Kielce,Gornik Z.,A
2022/2023,18/09/2022,14:00,Zaglebie,Wisla Plock,H
2022/2023,18/09/2022,16:30,Warta Poznan,Lech Poznan,A
2022/2023,30/09/2022,17:00,Radomiak Radom,Cracovia,A
2022/2023,30/09/2022,19:30,Wisla Plock,Piast Gliwice,H
2022/2023,01/10/2022,14:00,Gornik Z.,Zaglebie,A
2022/2023,01/10/2022,16:30,Lech Poznan,Legia,D
2022/2023,01/10/2022,19:30,Pogon Szczecin,Lechia Gdansk,H
2022/2023,02/10/2022,11:30,Legnica,Stal Mielec,A
2022/2023,02/10/2022,14:00,Jagiellonia,Korona Kielce,H
2022/2023,02/10/2022,16:30,Widzew Lodz,Rakow,D
2022/2023,03/10/2022,18:00,Slask Wroclaw,Warta Poznan,A
2022/2023,06/10/2022,19:45,Piast Gliwice,Rakow,A
2022/2023,07/10/2022,17:00,Stal Mielec,Pogon Szczecin,H
2022/2023,07/10/2022,19:30,Jagiellonia,Wisla Plock,D
2022/2023,08/10/2022,14:00,Slask Wroclaw,Gornik Z.,H
2022/2023,08/10/2022,16:30,Legia,Warta Poznan,H
2022/2023,08/10/2022,19:00,Cracovia,Lechia Gdansk,A
2022/2023,09/10/2022,14:00,Zaglebie,Korona Kielce,D
2022/2023,09/10/2022,16:30,Lech Poznan,Radomiak Radom,H
2022/2023,10/10/2022,17:00,Rakow,Legnica,H
2022/2023,10/10/2022,19:30,Piast Gliwice,Widzew Lodz,A
2022/2023,14/10/2022,17:00,Korona Kielce,Stal Mielec,A
2022/2023,14/10/2022,19:30,Wisla Plock,Legia,H
2022/2023,15/10/2022,11:30,Radomiak Radom,Slask Wroclaw,H
2022/2023,15/10/2022,14:00,Lechia Gdansk,Rakow,A
2022/2023,15/10/2022,16:30,Warta Poznan,Jagiellonia,H
2022/2023,15/10/2022,19:00,Pogon Szczecin,Piast Gliwice,D
2022/2023,16/10/2022,11:30,Legnica,Cracovia,D
2022/2023,16/10/2022,14:00,Widzew Lodz,Zaglebie,H
2022/2023,16/10/2022,17:30,Gornik Z.,Lech Poznan,A
2022/2023,21/10/2022,19:30,Widzew Lodz,Legnica,H
2022/2023,22/10/2022,14:00,Stal Mielec,Wisla Plock,D
2022/2023,22/10/2022,16:30,Legia,Pogon Szczecin,D
2022/2023,22/10/2022,19:00,Rakow,Korona Kielce,H
2022/2023,23/10/2022,11:30,Warta Poznan,Gornik Z.,D
2022/2023,23/10/2022,14:00,Slask Wroclaw,Jagiellonia,D
2022/2023,23/10/2022,16:30,Cracovia,Lech Poznan,D
2022/2023,24/10/2022,17:00,Piast Gliwice,Radomiak Radom,A
2022/2023,24/10/2022,19:30,Zaglebie,Lechia Gdansk,A
2022/2023,28/10/2022,17:00,Legnica,Pogon Szczecin,A
2022/2023,28/10/2022,19:30,Gornik Z.,Widzew Lodz,H
2022/2023,29/10/2022,14:00,Korona Kielce,Piast Gliwice,D
2022/2023,29/10/2022,16:30,Jagiellonia,Legia,A
2022/2023,29/10/2022,19:00,Wisla Plock,Slask Wroclaw,A
2022/2023,30/10/2022,11:30,Zaglebie,Cracovia,A
2022/2023,30/10/2022,14:00,Lechia Gdansk,Stal Mielec,H
2022/2023,30/10/2022,16:30,Lech Poznan,Rakow,A
2022/2023,31/10/2022,18:00,Radomiak Radom,Warta Poznan,A
2022/2023,04/11/2022,17:00,Stal Mielec,Zaglebie,H
2022/2023,04/11/2022,19:30,Legia,Lechia Gdansk,H
2022/2023,05/11/2022,11:30,Piast Gliwice,Warta Poznan,A
2022/2023,05/11/2022,14:00,Cracovia,Jagiellonia,H
2022/2023,05/11/2022,16:30,Pogon Szczecin,Gornik Z.,A
2022/2023,05/11/2022,19:00,Rakow,Wisla Plock,H
2022/2023,06/11/2022,11:30,Legnica,Slask Wroclaw,H
2022/2023,06/11/2022,14:00,Widzew Lodz,Radomiak Radom,A
2022/2023,06/11/2022,16:30,Lech Poznan,Korona Kielce,H
2022/2023,11/11/2022,17:00,Warta Poznan,Stal Mielec,D
2022/2023,11/11/2022,19:30,Wisla Plock,Cracovia,H
2022/2023,12/11/2022,11:30,Korona Kielce,Widzew Lodz,A
2022/2023,12/11/2022,14:00,Gornik Z.,Legnica,A
2022/2023,12/11/2022,16:30,Jagiellonia,Lech Poznan,A
2022/2023,12/11/2022,19:00,Zaglebie,Rakow,A
2022/2023,13/11/2022,11:30,Radomiak Radom,Pogon Szczecin,A
2022/2023,13/11/2022,14:00,Lechia Gdansk,Piast Gliwice,A
2022/2023,13/11/2022,16:30,Slask Wroclaw,Legia,D
2022/2023,18/11/2022,19:30,Lechia Gdansk,Gornik Z.,H
2022/2023,27/01/2023,17:00,Legnica,Radomiak Radom,D
2022/2023,27/01/2023,19:30,Stal Mielec,Lech Poznan,D
2022/2023,28/01/2023,14:00,Warta Poznan,Rakow,D
2022/2023,28/01/2023,16:30,Widzew Lodz,Pogon Szczecin,D
2022/2023,28/01/2023,19:00,Slask Wroclaw,Zaglebie,A
2022/2023,29/01/2023,11:30,Piast Gliwice,Jagiellonia,D
2022/2023,29/01/2023,14:00,Legia,Korona Kielce,H
2022/2023,29/01/2023,16:30,Lechia Gdansk,Wisla Plock,H
2022/2023,30/01/2023,18:00,Cracovia,Gornik Z.,H
2022/2023,01/02/2023,18:00,Legnica,Lech Poznan,D
2022/2023,03/02/2023,19:30,Widzew Lodz,Jagiellonia,D
2022/2023,04/02/2023,14:00,Rakow,Piast Gliwice,H
2022/2023,04/02/2023,16:30,Gornik Z.,Lechia Gdansk,D
2022/2023,04/02/2023,19:00,Zaglebie,Legia,A
2022/2023,05/02/2023,11:30,Radomiak Radom,Stal Mielec,H
2022/2023,05/02/2023,14:00,Lech Poznan,Legnica,H
2022/2023,05/02/2023,16:30,Pogon Szczecin,Slask Wroclaw,A
2022/2023,06/02/2023,18:00,Korona Kielce,Cracovia,H
2022/2023,10/02/2023,17:00,Stal Mielec,Rakow,D
2022/2023,10/02/2023,19:30,Lechia Gdansk,Widzew Lodz,D
2022/2023,11/02/2023,14:00,Slask Wroclaw,Korona Kielce,D
2022/2023,11/02/2023,16:30,Wisla Plock,Lech Poznan,A
2022/2023,11/02/2023,19:00,Jagiellonia,Pogon Szczecin,H
2022/2023,12/02/2023,11:30,Zaglebie,Piast Gliwice,A
2022/2023,12/02/2023,14:00,Gornik Z.,Radomiak Radom,D
2022/2023,12/02/2023,16:30,Legia,Cracovia,D
2022/2023,13/02/2023,18:00,Warta Poznan,Legnica,D
2022/2023,17/02/2023,17:00,Cracovia,Stal Mielec,H
2022/2023,17/02/2023,19:30,Widzew Lodz,Slask Wroclaw,H
2022/2023,18/02/2023,14:00,Korona Kielce,Lechia Gdansk,H
2022/2023,18/02/2023,16:30,Rakow,Gornik Z.,H
2022/2023,18/02/2023,19:00,Pogon Szczecin,Warta Poznan,H
2022/2023,19/02/2023,11:30,Legnica,Wisla Plock,H
2022/2023,19/02/2023,14:00,Lech Poznan,Zaglebie,A
2022/2023,19/02/2023,16:30,Piast Gliwice,Legia,A
2022/2023,20/02/2023,18:00,Radomiak Radom,Jagiellonia,D
2022/2023,24/02/2023,17:00,Jagiellonia,Rakow,A
2022/2023,24/02/2023,19:30,Legia,Widzew Lodz,D
2022/2023,25/02/2023,14:00,Piast Gliwice,Cracovia,H
2022/2023,25/02/2023,16:30,Warta Poznan,Korona Kielce,H
2022/2023,25/02/2023,19:00,Lechia Gdansk,Radomiak Radom,A
2022/2023,26/02/2023,11:30,Stal Mielec,Gornik Z.,A
2022/2023,26/02/2023,14:00,Wisla Plock,Pogon Szczecin,A
2022/2023,26/02/2023,16:30,Slask Wroclaw,Lech Poznan,H
2022/2023,27/02/2023,18:00,Zaglebie,Legnica,H
2022/2023,03/03/2023,17:00,Stal Mielec,Piast Gliwice,A
2022/2023,03/03/2023,19:30,Lech Poznan,Lechia Gdansk,H
2022/2023,04/03/2023,14:00,Widzew Lodz,Warta Poznan,A
2022/2023,04/03/2023,16:30,Korona Kielce,Wisla Plock,H
2022/2023,04/03/2023,19:00,Gornik Z.,Legia,A
2022/2023,05/03/2023,11:30,Legnica,Jagiellonia,D
2022/2023,05/03/2023,14:00,Pogon Szczecin,Rakow,A
2022/2023,05/03/2023,16:30,Cracovia,Slask Wroclaw,D
2022/2023,06/03/2023,18:00,Radomiak Radom,Zaglebie,A
2022/2023,08/03/2023,17:45,Wisla Plock,Warta Poznan,H
2022/2023,10/03/2023,17:00,Lechia Gdansk,Legnica,H
2022/2023,10/03/2023,19:30,Rakow,Slask Wroclaw,H
2022/2023,11/03/2023,14:00,Korona Kielce,Radomiak Radom,H
2022/2023,11/03/2023,16:30,Zaglebie,Pogon Szczecin,A
2022/2023,11/03/2023,19:00,Jagiellonia,Gornik Z.,H
2022/2023,12/03/2023,11:30,Warta Poznan,Cracovia,D
2022/2023,12/03/2023,14:00,Piast Gliwice,Lech Poznan,D
2022/2023,12/03/2023,16:30,Legia,Stal Mielec,H
2022/2023,13/03/2023,18:00,Wisla Plock,Widzew Lodz,D
2022/2023,17/03/2023,17:00,Gornik Z.,Wisla Plock,H
2022/2023,17/03/2023,19:30,Radomiak Radom,Legia,A
2022/2023,18/03/2023,11:30,Slask Wroclaw,Stal Mielec,D
2022/2023,18/03/2023,14:00,Jagiellonia,Zaglebie,D
2022/2023,18/03/2023,16:30,Pogon Szczecin,Korona Kielce,D
2022/2023,18/03/2023,19:00,Rakow,Cracovia,H
2022/2023,19/03/2023,11:30,Warta Poznan,Lechia Gdansk,H
2022/2023,19/03/2023,14:00,Legnica,Piast Gliwice,A
2022/2023,19/03/2023,16:30,Widzew Lodz,Lech Poznan,A
2022/2023,31/03/2023,17:00,Zaglebie,Warta Poznan,D
2022/2023,31/03/2023,19:30,Piast Gliwice,Gornik Zabrze,H
2022/2023,01/04/2023,14:00,Korona Kielce,Legnica,H
2022/2023,01/04/2023,16:30,Legia,Rakow,H
2022/2023,01/04/2023,19:00,Lechia Gdansk,Slask Wroclaw,D
2022/2023,02/04/2023,11:30,Wisla Plock,Radomiak Radom,D
2022/2023,02/04/2023,14:00,Cracovia,Widzew Lodz,D
2022/2023,02/04/2023,16:30,Lech Poznan,Pogon Szczecin,D
2022/2023,03/04/2023,18:00,Stal Mielec,Jagiellonia,D
2022/2023,06/04/2023,17:00,Slask Wroclaw,Piast Gliwice,A
2022/2023,06/04/2023,19:30,Gornik Zabrze,Korona Kielce,D
2022/2023,08/04/2023,11:30,Wisla Plock,Zaglebie,H
2022/2023,08/04/2023,14:00,Widzew Lodz,Stal Mielec,A
2022/2023,08/04/2023,16:30,Pogon Szczecin,Cracovia,H
2022/2023,08/04/2023,19:00,Lech Poznan,Warta Poznan,H
2022/2023,10/04/2023,14:00,Jagiellonia,Lechia Gdansk,H
2022/2023,10/04/2023,16:30,Radomiak Radom,Rakow,D
2022/2023,10/04/2023,19:00,Legnica,Legia,D
2022/2023,14/04/2023,17:00,Warta Poznan,Slask Wroclaw,H
2022/2023,14/04/2023,19:30,Zaglebie,Gornik Zabrze,A
2022/2023,15/04/2023,14:00,Cracovia,Radomiak Radom,H
2022/2023,15/04/2023,16:30,Korona Kielce,Jagiellonia,H
2022/2023,15/04/2023,19:00,Lechia Gdansk,Pogon Szczecin,A
2022/2023,16/04/2023,11:30,Piast Gliwice,Wisla Plock,H
2022/2023,16/04/2023,14:00,Rakow,Widzew Lodz,H
2022/2023,16/04/2023,16:30,Legia,Lech Poznan,D
2022/2023,17/04/2023,18:00,Stal Mielec,Legnica,D
2022/2023,21/04/2023,17:00,Wisla Plock,Jagiellonia,A
2022/2023,21/04/2023,19:30,Warta Poznan,Legia,H
2022/2023,22/04/2023,14:00,Lechia Gdansk,Cracovia,A
2022/2023,22/04/2023,16:30,Legnica,Rakow,A
2022/2023,22/04/2023,19:00,Pogon Szczecin,Stal Mielec,H
2022/2023,23/04/2023,11:30,Korona Kielce,Zaglebie,D
2022/2023,23/04/2023,14:00,Widzew Lodz,Piast Gliwice,A
2022/2023,23/04/2023,16:30,Gornik Zabrze,Slask Wroclaw,H
2022/2023,24/04/2023,18:00,Radomiak Radom,Lech Poznan,D
2022/2023,28/04/2023,17:00,Legia,Wisla Plock,H
2022/2023,28/04/2023,19:30,Rakow,Lechia Gdansk,H
2022/2023,29/04/2023,14:00,Jagiellonia,Warta Poznan,H
2022/2023,29/04/2023,16:30,Zaglebie,Widzew Lodz,H
2022/2023,29/04/2023,19:00,Piast Gliwice,Pogon Szczecin,D
2022/2023,30/04/2023,11:30,Slask Wroclaw,Radomiak Radom,A
2022/2023,30/04/2023,14:00,Stal Mielec,Korona Kielce,H
2022/2023,30/04/2023,16:30,Lech Poznan,Gornik Zabrze,A
2022/2023,01/05/2023,18:00,Cracovia,Legnica,D
2022/2023,05/05/2023,17:00,Jagiellonia,Slask Wroclaw,D
2022/2023,05/05/2023,19:30,Gornik Zabrze,Warta Poznan,H
2022/2023,06/05/2023,14:00,Radomiak Radom,Piast Gliwice,A
2022/2023,06/05/2023,16:30,Lech Poznan,Cracovia,H
2022/2023,06/05/2023,19:00,Lechia Gdansk,Zaglebie,A
2022/2023,07/05/2023,11:30,Wisla Plock,Stal Mielec,D
2022/2023,07/05/2023,14:00,Korona Kielce,Rakow,H
2022/2023,07/05/2023,16:30,Pogon Szczecin,Legia,H
2022/2023,08/05/2023,18:00,Legnica,Widzew Lodz,A
2022/2023,12/05/2023,17:00,Piast Gliwice,Korona Kielce,H
2022/2023,12/05/2023,19:30,Legia,Jagiellonia,H
2022/2023,13/05/2023,14:00,Slask Wroclaw,Wisla Plock,H
2022/2023,13/05/2023,16:30,Cracovia,Zaglebie,A
2022/2023,13/05/2023,19:00,Widzew Lodz,Gornik Zabrze,A
2022/2023,14/05/2023,11:30,Stal Mielec,Lechia Gdansk,D
2022/2023,14/05/2023,14:00,Pogon Szczecin,Legnica,H
2022/2023,14/05/2023,16:30,Rakow,Lech Poznan,A
2022/2023,15/05/2023,18:00,Warta Poznan,Radomiak Radom,A
2022/2023,19/05/2023,17:00,Zaglebie,Stal Mielec,H
2022/2023,19/05/2023,19:30,Korona Kielce,Lech Poznan,A
2022/2023,20/05/2023,14:00,Jagiellonia,Cracovia,D
2022/2023,20/05/2023,16:30,Gornik Zabrze,Pogon Szczecin,H
2022/2023,20/05/2023,19:00,Lechia Gdansk,Legia,H
2022/2023,21/05/2023,11:30,Slask Wroclaw,Legnica,H
2022/2023,21/05/2023,14:00,Radomiak Radom,Widzew Lodz,H
2022/2023,21/05/2023,16:30,Wisla Plock,Rakow,A
2022/2023,22/05/2023,18:00,Warta Poznan,Piast Gliwice,D
2022/2023,27/05/2023,16:30,Cracovia,Wisla Plock,H
2022/2023,27/05/2023,16:30,Lech Poznan,Jagiellonia,H
2022/2023,27/05/2023,16:30,Legia,Slask Wroclaw,H
2022/2023,27/05/2023,16:30,Legnica,Gornik Zabrze,D
2022/2023,27/05/2023,16:30,Piast Gliwice,Lechia Gdansk,H
2022/2023,27/05/2023,16:30,Pogon Szczecin,Radomiak Radom,H
2022/2023,27/05/2023,16:30,Rakow,Zaglebie,D
2022/2023,27/05/2023,16:30,Stal Mielec,Warta Poznan,H
2022/2023,27/05/2023,16:30,Widzew Lodz,Korona Kielce,A
2023/2024,21/07/2023,17:00,Warta Poznan,Pogon Szczecin,A
2023/2024,21/07/2023,19:30,Legia,LKS Lodz,H
2023/2024,22/07/2023,14:00,Stal Mielec,Cracovia,D
2023/2024,22/07/2023,16:30,Rakow,Jagiellonia,H
2023/2024,22/07/2023,19:00,Piast Gliwice,Lech Poznan,A
2023/2024,23/07/2023,14:00,Gornik Zabrze,Radomiak Radom,A
2023/2024,23/07/2023,16:30,Zaglebie,Ruch Chorzow,H
2023/2024,23/07/2023,19:00,Widzew Lodz,Puszcza,H
2023/2024,24/07/2023,18:00,Korona Kielce,Slask Wroclaw,D
2023/2024,28/07/2023,19:30,Ruch Chorzow,LKS Lodz,H
2023/2024,29/07/2023,14:00,Warta Poznan,Gornik Zabrze,H
2023/2024,29/07/2023,16:30,Jagiellonia,Puszcza,H
2023/2024,29/07/2023,19:00,Slask Wroclaw,Zaglebie,A
2023/2024,30/07/2023,14:00,Stal Mielec,Piast Gliwice,D
2023/2024,30/07/2023,16:30,Lech Poznan,Radomiak Radom,H
2023/2024,30/07/2023,19:00,Pogon Szczecin,Widzew Lodz,H
2023/2024,04/08/2023,17:00,Jagiellonia,Widzew Lodz,H
2023/2024,04/08/2023,19:30,LKS Lodz,Korona Kielce,H
2023/2024,05/08/2023,14:00,Rakow,Warta Poznan,D
2023/2024,05/08/2023,16:30,Gornik Zabrze,Piast Gliwice,D
2023/2024,05/08/2023,19:00,Radomiak Radom,Cracovia,A
2023/2024,06/08/2023,16:30,Zaglebie,Lech Poznan,D
2023/2024,06/08/2023,19:00,Legia,Ruch Chorzow,H
2023/2024,07/08/2023,18:00,Puszcza,Stal Mielec,H
2023/2024,11/08/2023,17:00,Cracovia,Zaglebie,H
2023/2024,11/08/2023,19:30,Piast Gliwice,Rakow,H
2023/2024,12/08/2023,14:00,Stal Mielec,Slask Wroclaw,H
2023/2024,12/08/2023,16:30,Korona Kielce,Gornik Zabrze,A
2023/2024,12/08/2023,19:00,Widzew Lodz,LKS Lodz,H
2023/2024,13/08/2023,14:00,Pogon Szczecin,Radomiak Radom,A
2023/2024,13/08/2023,16:30,Puszcza,Legia,D
2023/2024,14/08/2023,18:00,Warta Poznan,Ruch Chorzow,D
2023/2024,18/08/2023,17:00,Zaglebie,Puszcza,H
2023/2024,18/08/2023,19:30,Gornik Zabrze,Widzew Lodz,D
2023/2024,19/08/2023,14:00,Radomiak Radom,Warta Poznan,H
2023/2024,19/08/2023,16:30,Rakow,Stal Mielec,H
2023/2024,19/08/2023,19:00,Ruch Chorzow,Jagiellonia,A
2023/2024,20/08/2023,14:00,LKS Lodz,Pogon Szczecin,H
2023/2024,20/08/2023,16:30,Slask Wroclaw,Lech Poznan,H
2023/2024,20/08/2023,19:00,Legia,Korona Kielce,H
2023/2024,21/08/2023,18:00,Cracovia,Piast Gliwice,D
2023/2024,25/08/2023,17:00,Stal Mielec,Radomiak Radom,H
2023/2024,25/08/2023,19:30,Widzew Lodz,Slask Wroclaw,A
2023/2024,26/08/2023,14:00,Warta Poznan,Cracovia,D
2023/2024,26/08/2023,16:30,Puszcza,LKS Lodz,H
2023/2024,26/08/2023,19:00,Piast Gliwice,Ruch Chorzow,D
2023/2024,27/08/2023,14:00,Korona Kielce,Zaglebie,H
2023/2024,27/08/2023,16:30,Jagiellonia,Gornik Zabrze,H
2023/2024,30/08/2023,17:30,Pogon Szczecin,Slask Wroclaw,A
